ID,Name,Volume,Price,Sale Price,Sale Ends,Proof,Type,Category,url,image,relative_1,relative_2,relative_3
2433,Crown Royal X R Extra Rare,750mL,$131.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/2433/crown_royal_x_r_extra_rare,FALSE,1489,2909,2492
2675,Crown Royal Xo,750mL,$46.99 ,$44.99 ,10/30/2016,80,Whiskey Imported,Canadian Fb,/products/detail/2675/crown_royal_xo,FALSE,441,2435,2492
4942,Cruzan 151 Aged Rum,750mL,$19.99 ,-,-,151,Rum American,Rum American,/products/detail/4942/cruzan_151_aged_rum,FALSE,3629,4412,4846
8448,Cruzan Aged Dark Rum,750mL,$10.99 ,-,-,80,Rum American,Rum American,/products/detail/8448/cruzan_aged_dark_rum,TRUE,814,4340,4103
8451,Cruzan Aged Dark Rum,1.75L,$19.99 ,$17.99 ,10/30/2016,80,Rum American,Rum American,/products/detail/8451/cruzan_aged_dark_rum,FALSE,4662,8452,4089
8452,Cruzan Aged Light Rum,1.75L,$19.99 ,$17.99 ,10/30/2016,80,Rum American,Rum American,/products/detail/8452/cruzan_aged_light_rum,FALSE,4662,8451,4089
4438,Cruzan Black Cherry Rum,750mL,$10.99 ,$9.99 ,10/30/2016,42,Rum American,Rum American Flavored,/products/detail/4438/cruzan_black_cherry_rum,FALSE,4902,4195,4416
4340,Cruzan Black Strap Rum,750mL,$12.99 ,$9.99 ,10/30/2016,80,Rum American,Rum American,/products/detail/4340/cruzan_black_strap_rum,FALSE,4103,8448,814
4343,Cruzan Blueberry Lemonade Rum,750mL,$10.99 ,$9.99 ,10/30/2016,42,Rum American,Rum American Flavored,/products/detail/4343/cruzan_blueberry_lemonade_rum,FALSE,4902,4195,4416
4416,Cruzan Coconut Flavored Rum,750mL,$10.99 ,$9.99 ,10/30/2016,42,Rum American,Rum American Flavored,/products/detail/4416/cruzan_coconut_flavored_rum,FALSE,4902,4195,4343
4846,Cruzan Estate Diamond Dark Rum,750mL,$19.99 ,$16.99 ,10/30/2016,80,Rum American,Rum American,/products/detail/4846/cruzan_estate_diamond_dark_rum,TRUE,4942,3629,4412
4410,Cruzan Mango Flavored Rum,750mL,$10.99 ,$9.99 ,10/30/2016,42,Rum American,Rum American Flavored,/products/detail/4410/cruzan_mango_flavored_rum,FALSE,4902,4195,4416
4211,Cruzan Passion Fruit Rum,750mL,$10.99 ,$9.99 ,10/30/2016,42,Rum American,Rum American Flavored,/products/detail/4211/cruzan_passion_fruit_rum,FALSE,4902,4195,4416
4414,Cruzan Pineapple Flavored Rum,750mL,$10.99 ,$9.99 ,10/30/2016,42,Rum American,Rum American Flavored,/products/detail/4414/cruzan_pineapple_flavored_rum,FALSE,4902,4195,4416
